Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.373	-4.96057	0.066017	0.00502659	0.00502659	0.00502659	
0.374	-4.99013	0.0609904	0.00505112	0.00505112	0.00505112	
0.375	-5	0.0559393	0.00505594	0.00505594	0.00505594	
0.376	-4.99013	0.0508834	0.00504102	0.00504102	0.00504102	
0.377	-4.96057	0.0458424	0.00500642	0.00500642	0.00500642	
0.378	-4.91144	0.040836	0.00495227	0.00495227	0.00495227	
0.379	-4.84292	0.0358837	0.0048788	0.0048788	0.0048788	
0.38	-4.75528	0.0310049	0.00478629	0.00478629	0.00478629	
0.381	-4.64888	0.0262186	0.0046751	0.0046751	0.0046751	
0.382	-4.52414	0.0215435	0.00454568	0.00454568	0.00454568	
0.383	-4.38153	0.0169978	0.00439853	0.00439853	0.00439853	
